#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2012-09-22 00:19:06
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra120921.ibl 693265 USER-2E87126D0E 830030000 2012-09-21 13:54:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693284 USER-2E87126D0E 830030000 2012-09-21 13:54:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693287 USER-2E87126D0E 830030000 2012-09-21 13:54:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693289 USER-2E87126D0E 830030000 2012-09-21 13:54:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693291 USER-2E87126D0E 830030000 2012-09-21 13:54:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693296 USER-2E87126D0E 830030000 2012-09-21 13:54:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693298 USER-2E87126D0E 830030000 2012-09-21 13:54:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693304 USER-2E87126D0E 830030000 2012-09-21 13:54:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 78 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693308 USER-2E87126D0E 830030000 2012-09-21 13:54:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693310 USER-2E87126D0E 830030000 2012-09-21 13:54:23 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693408 USER-2E87126D0E 830030000 2012-09-21 13:54:29 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 17359 0 273 1236 /adm/login.php - -
d:\iislog\W3SVC\ra120921.ibl 694361 USER-2E87126D0E 830030000 2012-09-21 13:56:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694362 USER-2E87126D0E 830030000 2012-09-21 13:56:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694364 USER-2E87126D0E 830030000 2012-09-21 13:56:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694367 USER-2E87126D0E 830030000 2012-09-21 13:56:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694370 USER-2E87126D0E 830030000 2012-09-21 13:56:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694373 USER-2E87126D0E 830030000 2012-09-21 13:56:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694377 USER-2E87126D0E 830030000 2012-09-21 13:56:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 694393 USER-2E87126D0E 830030000 2012-09-21 13:56:23 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 236 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 695586 USER-2E87126D0E 830030000 2012-09-21 13:57:54 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 236 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 701522 USER-2E87126D0E 830030000 2012-09-21 14:05:04 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 500 0 171 208 364 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 701541 USER-2E87126D0E 830030000 2012-09-21 14:05:05 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 171 1468 315 2 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 701759 USER-2E87126D0E 830030000 2012-09-21 14:05:26 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 500 0 156 208 373 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 701764 USER-2E87126D0E 830030000 2012-09-21 14:05:26 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 156 1468 315 2 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 706622 USER-2E87126D0E 830030000 2012-09-21 14:10:53 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 500 0 171 208 408 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 706630 USER-2E87126D0E 830030000 2012-09-21 14:10:53 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 171 1468 311 2 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 711751 USER-2E87126D0E 830030000 2012-09-21 14:17:04 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 500 0 156 208 418 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 711755 USER-2E87126D0E 830030000 2012-09-21 14:17:04 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 156 1468 311 2 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 724986 USER-2E87126D0E 830030000 2012-09-21 14:32:40 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 156 1468 374 2 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 724992 USER-2E87126D0E 830030000 2012-09-21 14:32:41 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 171 1468 315 2 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 725070 USER-2E87126D0E 830030000 2012-09-21 14:32:49 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 171 1468 369 2 /x.php - -
d:\iislog\W3SVC\ra120921.ibl 725075 USER-2E87126D0E 830030000 2012-09-21 14:32:49 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 404 0 156 1468 315 2 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 725151 USER-2E87126D0E 830030000 2012-09-21 14:32:55 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 500 0 171 208 373 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 736650 USER-2E87126D0E 830030000 2012-09-21 14:47:14 222.188.187.187 112.121.167.174 80 GET HTTP/1.1 200 0 156 1807 364 0 /index.html - -
